date_of_calculation,code_of_stock,name_of_stock,name_of_short_seller,address_of_short_seller,name_of_discretionary_investment_contractor,address_of_discretionary_investment_contractor,name_of_investment_fund,ratio_of_short_positions_to_shares_outstanding,number_of_short_positions_in_shares,number_of_short_positions_in_trading_units,date_of_calculation_in_previous_reporting,ratio_of_short_positions_in_previous_reporting,notes
2025-01-09,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0412,1496301,14963.0,2025-01-08,0.0395,
2025-01-09,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0074,290540,2905.0,2025-01-07,0.0066,
2025-01-08,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0395,1434001,14340.0,2025-01-07,0.030899999999999997,
2025-01-08,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0064,251426,2514.0,2025-01-07,0.006999999999999999,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-01-07,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.006999999999999999,274208,2742.0,2025-01-06,0.0056,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-01-07,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.030899999999999997,1121201,11212.0,2025-01-06,0.0352,
2025-01-07,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0066,259540,2595.0,2025-01-06,0.0071,
2025-01-06,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0071,279540,2795.0,2024-12-16,0.0067,
2025-01-06,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0352,1278801,12788.0,2024-12-30,0.0294,
2025-01-06,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0071,279540,2795.0,2024-12-16,0.0067,
2025-01-06,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0056,221608,2216.0,2024-12-30,0.0062,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-01-06,3350,Metaplanet Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.0,0,0.0,2024-12-30,0.0063,
2024-12-30,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0294,1068001,10680.0,2024-12-27,0.0287,
2024-12-30,3350,Metaplanet Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.0063,230240,2302.0,,,
2024-12-30,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0062,225008,2250.0,2024-12-20,0.0074,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-12-27,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0287,1042901,10429.0,2024-12-26,0.029300000000000003,
2024-12-26,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.029300000000000003,1064101,10641.0,2024-12-25,0.0252,
